 Total battles: 589225
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 44.92528% | 529422 | 44.925% | 290560 | 52.392% | 
 | 2    | Tapu Koko          | 25.44198% | 299821 | 25.442% | 141569 | 25.527% | 
 | 3    | Tapu Fini          | 24.50753% | 288809 | 24.508% | 138433 | 24.961% | 
 | 4    | Tapu Lele          | 21.50248% | 253396 | 21.502% | 127182 | 22.933% | 
 | 5    | Zapdos             | 18.54614% | 218557 | 18.546% | 95948  | 17.301% | 
 | 6    | Cresselia          | 17.46769% | 205848 | 17.468% | 84050  | 15.155% | 
 | 7    | Charizard-Mega-Y   | 15.81111% | 186326 | 15.811% | 98246  | 17.715% | 
 | 8    | Metagross-Mega     | 15.23858% | 179579 | 15.239% | 93530  | 16.865% | 
 | 9    | Tyranitar          | 14.41325% | 169853 | 14.413% | 82675  | 14.907% | 
 | 10   | Amoonguss          | 14.38296% | 169496 | 14.383% | 61022  | 11.003% | 
 | 11   | Tapu Bulu          | 13.65760% | 160948 | 13.658% | 71814  | 12.949% | 
 | 12   | Aegislash          | 13.41873% | 158133 | 13.419% | 66944  | 12.071% | 
 | 13   | Snorlax            | 11.49315% | 135441 | 11.493% | 64614  | 11.651% | 
 | 14   | Kartana            | 10.08163% | 118807 | 10.082% | 55554  | 10.017% | 
 | 15   | Salamence-Mega     |  8.65578% | 102004 |  8.656% | 50371  |  9.083% | 
 | 16   | Heatran            |  8.64424% | 101868 |  8.644% | 49748  |  8.970% | 
 | 17   | Celesteela         |  8.34325% | 98321  |  8.343% | 43642  |  7.869% | 
 | 18   | Incineroar         |  8.24804% | 97199  |  8.248% | 52077  |  9.390% | 
 | 19   | Tyranitar-Mega     |  7.45751% | 87883  |  7.458% | 39045  |  7.040% | 
 | 20   | Ferrothorn         |  7.16288% | 84411  |  7.163% | 36658  |  6.610% | 
 | 21   | Kangaskhan-Mega    |  6.53647% | 77029  |  6.536% | 40817  |  7.360% | 
 | 22   | Scrafty            |  6.20171% | 73084  |  6.202% | 39465  |  7.116% | 
 | 23   | Whimsicott         |  6.12228% | 72148  |  6.122% | 29199  |  5.265% | 
 | 24   | Politoed           |  6.09546% | 71832  |  6.095% | 34180  |  6.163% | 
 | 25   | Ludicolo           |  6.05397% | 71343  |  6.054% | 37149  |  6.698% | 
 | 26   | Gengar-Mega        |  5.93924% | 69991  |  5.939% | 33148  |  5.977% | 
 | 27   | Milotic            |  5.88273% | 69325  |  5.883% | 26000  |  4.688% | 
 | 28   | Gothitelle         |  5.83546% | 68768  |  5.835% | 29355  |  5.293% | 
