 Total battles: 714652
 Avg. weight/team: 0.085
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Incineroar         | 80.88273% | 974475 | 68.178% | 522625 | 77.002% | 
 | 2    | Xerneas            | 51.63760% | 550971 | 38.548% | 301992 | 44.495% | 
 | 3    | Kyogre             | 47.50149% | 665521 | 46.563% | 414040 | 61.004% | 
 | 4    | Tapu Koko          | 33.27265% | 457889 | 32.036% | 184680 | 27.210% | 
 | 5    | Amoonguss          | 32.54040% | 309245 | 21.636% | 98167  | 14.464% | 
 | 6    | Groudon            | 28.98830% | 381906 | 26.720% | 261534 | 38.534% | 
 | 7    | Ludicolo           | 25.97211% | 334131 | 23.377% | 138280 | 20.374% | 
 | 8    | Kartana            | 24.67105% | 296827 | 20.767% | 139368 | 20.534% | 
 | 9    | Tapu Lele          | 24.39512% | 408199 | 28.559% | 182154 | 26.838% | 
 | 10   | Yveltal            | 18.85301% | 272301 | 19.051% | 143151 | 21.091% | 
 | 11   | Ferrothorn         | 16.38307% | 290276 | 20.309% | 122668 | 18.074% | 
 | 12   | Lunala             | 15.34400% | 136517 |  9.551% | 72897  | 10.740% | 
 | 13   | Smeargle           | 13.34505% | 129518 |  9.062% | 49414  |  7.281% | 
 | 14   | Stakataka          | 13.10937% | 117123 |  8.194% | 40074  |  5.904% | 
 | 15   | Tapu Fini          | 12.27340% | 156076 | 10.920% | 64760  |  9.542% | 
 | 16   | Necrozma-Dusk-Mane | 11.63189% | 191603 | 13.405% | 101664 | 14.979% | 
 | 17   | Bronzong           |  8.84564% | 78740  |  5.509% | 27311  |  4.024% | 
 | 18   | Tsareena           |  7.71010% | 105022 |  7.348% | 48555  |  7.154% | 
 | 19   | Venusaur           |  7.39512% | 73357  |  5.132% | 33019  |  4.865% | 
 | 20   | Ho-Oh              |  6.95198% | 93600  |  6.549% | 54936  |  8.094% | 
 | 21   | Crobat             |  6.09065% | 105632 |  7.390% | 31924  |  4.704% | 
 | 22   | Solgaleo           |  5.33070% | 106299 |  7.437% | 58928  |  8.682% | 
 | 23   | Hitmontop          |  4.51288% | 88203  |  6.171% | 35237  |  5.192% | 
 | 24   | Toxicroak          |  4.46864% | 71792  |  5.023% | 30855  |  4.546% | 
 | 25   | Landorus-Therian   |  4.18537% | 66906  |  4.681% | 28342  |  4.176% | 
 | 26   | Dialga             |  3.67482% | 72180  |  5.050% | 38664  |  5.697% | 
 | 27   | Whimsicott         |  3.34372% | 66386  |  4.645% | 25785  |  3.799% | 
 | 28   | Tapu Bulu          |  3.31742% | 67439  |  4.718% | 27659  |  4.075% | 
 | 29   | Raichu             |  3.24476% | 93493  |  6.541% | 39271  |  5.786% | 
 | 30   | Drifblim           |  2.99033% | 27363  |  1.914% | 11753  |  1.732% | 
