 Total battles: 355232
 Avg. weight/team: 0.002
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Celesteela         | 44.13950% | 211507 | 29.770% | 94173  | 29.443% | 
 | 2    | Marowak-Alola      | 42.52136% | 257169 | 36.197% | 134526 | 42.059% | 
 | 3    | Tapu Lele          | 41.83767% | 216458 | 30.467% | 103999 | 32.515% | 
 | 4    | Tapu Koko          | 29.18300% | 191172 | 26.908% | 88826  | 27.771% | 
 | 5    | Garchomp           | 28.62636% | 165703 | 23.323% | 77848  | 24.339% | 
 | 6    | Gyarados           | 23.68600% | 118984 | 16.747% | 55935  | 17.488% | 
 | 7    | Arcanine           | 22.78187% | 145860 | 20.530% | 67326  | 21.049% | 
 | 8    | Porygon2           | 21.89629% | 64395  |  9.064% | 26479  |  8.279% | 
 | 9    | Tapu Bulu          | 21.58992% | 126538 | 17.811% | 58008  | 18.136% | 
 | 10   | Oranguru           | 18.85242% | 178142 | 25.074% | 69723  | 21.799% | 
 | 11   | Xurkitree          | 18.84087% | 107018 | 15.063% | 52451  | 16.399% | 
 | 12   | Kartana            | 13.27894% | 88672  | 12.481% | 42956  | 13.430% | 
 | 13   | Krookodile         | 11.91406% | 51810  |  7.292% | 25061  |  7.835% | 
 | 14   | Pelipper           | 11.66321% | 63173  |  8.892% | 28282  |  8.842% | 
 | 15   | Milotic            | 10.70910% | 74418  | 10.475% | 29410  |  9.195% | 
 | 16   | Torkoal            | 10.41784% | 62212  |  8.757% | 37827  | 11.826% | 
 | 17   | Ninetales-Alola    | 10.12854% | 72654  | 10.226% | 29769  |  9.307% | 
 | 18   | Nihilego           |  9.99860% | 52272  |  7.357% | 25099  |  7.847% | 
 | 19   | Tapu Fini          |  8.64167% | 63428  |  8.928% | 29880  |  9.342% | 
 | 20   | Mudsdale           |  8.46044% | 63940  |  9.000% | 31113  |  9.727% | 
 | 21   | Metagross          |  7.84087% | 38243  |  5.383% | 16939  |  5.296% | 
 | 22   | Raichu-Alola       |  7.34849% | 71146  | 10.014% | 33237  | 10.391% | 
